INVESTOR,CNT_PORTFOL_COMP_22
Accel,60
Tiger Global Management,53
Andreessen Horowitz,52
Sequoia Capital China,47
Insight Partners,46
Sequoia Capital,44
SoftBank Group,34
Lightspeed Venture Partners,34
General Catalyst,33
Index Ventures,32
Tencent Holdings,29
General Atlantic,27
Google Ventures,25
Sequoia Capital India,25
IDG Capital,23
New Enterprise Associates,23
Bessemer Venture Partners,22
Coatue Management,22
Khosla Ventures,21
DST Global,21
Y Combinator,19
Kleiner Perkins Caufield & Byers,19
Thrive Capital,17
Goldman Sachs,17
Founders Fund,17
Norwest Venture Partners,16
GGV Capital,16
Battery Ventures,16
Qiming Venture Partners,16
Greylock Partners,14
Warburg Pincus,12
Qualcomm Ventures,12
Redpoint Ventures,11
Global Founders Capital,11
Benchmark,11
Matrix Partners China,11
CRV,11
Greycroft,11
Temasek,10
KKR,10
Institutional Venture Partners,10
BlackRock,10
Hillhouse Capital Management,10
Technology Crossover Ventures,10
ICONIQ Capital,10
Bain Capital Ventures,10
Alibaba Group,10
Ribbit Capital,10
FirstMark Capital,9
DCM Ventures,9
Softbank Group,9
Blackstone,9
Venrock,9
Menlo Ventures,9
Spark Capital,9
Initialized Capital,8
Atomico,8
Matrix Partners,8
Zeev Ventures,8
M12,8
QED Investors,8
8VC,8
Nexus Venture Partners,8
Foundation Capital,8
ZhenFund,7
Summit Partners,7
Scale Venture Partners,7
Northzone Ventures,7
Shunwei Capital Partners,7
Balderton Capital,7
Salesforce Ventures,7
Tencent,7
Madrona Venture Group,7
Georgian Partners,6
Coinbase Ventures,6
Monashees+,6
Valar Ventures,6
Union Square Ventures,6
capitalG,6
T. Rowe Price,6
Prosus Ventures,6
Caffeinated Capital,6
Sound Ventures,6
Trinity Ventures,5
Intel Capital,5
Source Code Capital,5
Bond,5
Baidu,5
Left Lane Capital,5
Polychain Capital,5
Two Sigma Ventures,5
Linear Venture,5
Advent International,5
Eurazeo,5
D1 Capital Partners,5
Aleph,5
Forerunner Ventures,5
Jump Capital,5
Pitango Venture Capital,5
Alven Capital,5
Accel Partners,5
American Express Ventures,5
Dell Technologies Capital,5
Kaszek Ventures,5
Upfront Ventures,4
Lerer Hippeau,4
Mayfield Fund,4
Eight Roads Ventures,4
Goodwater Capital,4
Chiratae Ventures,4
B Capital Group,4
Sierra Ventures,4
Accomplice,4
Comcast Ventures,4
Creandum,4
Data Collective,4
GS Growth,4
Oak HC/FT Partners,4
Fifth Wall Ventures,4
Stripes Group,4
Access Industries,4
Citi Ventures,4
Commerce Ventures,4
Highland Capital Partners,4
Lakestar,4
Pantera Capital,4
Felicis Ventures,4
Insight Venture Partners,4
Jackson Square Ventures,4
Crosslink Capital,4
IA Ventures,4
Eastern Bell Capital,4
OMERS Ventures,4
Matrix Partners India,4
Ignition Partners,4
Uncork Capital,4
Sapphire Ventures,4
The Carlyle Group,4
Temasek Holdings,4
IDInvest Partners,4
Paradigm,4
Capital Today,4
83North,4
Munich Re Ventures,4
Lightspeed India Partners,4
Storm Ventures,4
Threshold Ventures,4
Canaan Partners,4
Foundry Group,4
Passion Capital,3
Durable Capital Partners,3
Felix Capital,3
CDH Investments,3
5Y Capital,3
Falcon Edge Capital,3
GSR Ventures,3
Mayfield,3
Target Global,3
Valor Capital Group,3
K2VC,3
Vista Equity Partners,3
SignalFire,3
Meritech Capital Partners,3
Thoma Bravo,3
Dragoneer Investment Group,3
FTV Capital,3
SAIF Partners China,3
Aglae Ventures,3
Playground Global,3
Koch Disruptive Technologies,3
Vertex Ventures,3
Sands Capital,3
WestCap Group,3
Kinnevik,3
Clocktower Technology Ventures,3
Blackrock,3
Blackbird Ventures,3
Morningside Venture Capital,3
Altimeter Capital,3
March Capital Partners,3
Horizons Ventures,3
Addition,3
Silversmith Capital Partners,3
Helion Venture Partners,3
L Catterton,3
Shenzhen Capital Group,3
Wing Venture Capital,3
BEENEXT,3
Highland Europe,3
Javelin Venture Partners,3
Point72 Ventures,3
Franklin Templeton,3
Partech Partners,3
Silver Lake,3
Lux Capital,3
Shasta Ventures,3
Formation 8,3
Blumberg Capital,3
TLV Partners,3
Baillie Gifford & Co.,3
14W,3
Flybridge Capital Partners,3
ICONIQ Growth,3
Endeavor,3
NextView Ventures,3
Legend Capital,3
500 Startups,3
Susquehanna Growth Equity,3
Boyu Capital,3
First Round Capital,3
next47,3
RRE Ventures,3
SIG Asia Investments,3
AltaIR Capital,3
Altos Ventures,3
Alpha JWC Ventures,3
Innovation Endeavors,3
BOLDstart Ventures,3
Green Pine Capital Partners,3
Emergence Capital Partners,3
Tao Capital Partners,3
Goldman Sachs Asset Management,3
Elevation Capital,3
AME Cloud Ventures,3
Softbank,3
PayPal Ventures,3
Yunfeng Capital,3
Kalaari Capital,3
Greenoaks Capital Management,3
Tenaya Capital,3
Sutter Hill Ventures,3
F-Prime Capital,3
TPG Growth,3
Trustbridge Partners,3
Earlybird Venture Capital,3
Pelion Venture Partners,3
DFJ Growth Fund,2
Elaia Partners,2
Vostok New Ventures,2
VY Capital,2
Jiangsu Sha Steel Group,2
Social Capital,2
Unicom Innovation Venture Capital,2
Redpoint Ventures China,2
Sixth Street Partners,2
Draper Esprit,2
01 Advisors,2
Homebrew,2
,2
FJ Labs,2
Refactor Capital,2
S Capital,2
NIO Capital,2
Vision Plus Capital,2
Eniac Ventures,2
SingTel Innov8,2
Sinovation Ventures,2
Bain Capital Tech Opportunities,2
Mubadala Capital,2
BMW i Ventures,2
OpenView Venture Partners,2
Stripe,2
Digital Currency Group,2
Sequoia Capital Israel,2
Hopu Investment Management,2
Amplify Partners,2
Craft Ventures,2
Cowboy Ventures,2
Blockchain Capital,2
Aspect Ventures,2
EQT Partners,2
Fidelity Investment,2
Viking Global Investors,2
CRE Venture Capital,2
China Creation Ventures,2
Speedinvest,2
Undisclosed,2
AirTree Ventures,2
Blume Ventures,2
Revolution Growth,2
Vintage Investment Partners,2
500 Global,2
Bertelsmann India Investments,2
CreditEase Fintech Investment Fund,2
China Media Group,2
Connect Ventures,2
Bedrock Capital,2
QiMing Venture Partners,2
Obvious Ventures,2
Activant Capital,2
Maveron,2
Shea Ventures,2
Fidelity Investments,2
SOSV,2
Canapi Ventures,2
Tiger Global,2
Rembrandt Venture Partners,2
RiverPark Ventures,2
Next World Capital,2
SoftBank Latin America Fund,2
Mithril Capital Management,2
Guangzhou Huiyin Aofeng Equity Investment Fund,2
Daphni,2
Kibo Ventures,2
Cherry Ventures,2
Lightspeed China Partners,2
Morningside Ventures,2
Orange Digital Ventures,2
Spectrum Equity,2
WestBridge Capital,2
Blue Cloud Ventures,2
Iris Capital,2
Northern Light Venture Capital,2
Liberty City Ventures,2
Ant Financial Services Group,2
Tiger Global management,2
Eldridge,2
TDM Growth Partners,2
General Catalyst Partners,2
Bertelsmann Asia Investments,2
Genesis Partners,2
Alta Partners,2
e.ventures,2
Meituan Dianping,2
Invus Group,2
International Finance Corporation,2
LocalGlobe,2
Hedosophia,2
Costanoa Ventures,2
Golden Gate Ventures,2
GSV Ventures,2
FundersClub,2
Slow Ventures,2
Sina Weibo,2
Redalpine Venture Partners,2
Gaorong Capital,2
TA Associates,2
Version One Ventures,2
TriplePoint Capital,2
Owl Ventures,2
Venture Highway,2
China Grand Prosperity Investment,2
Amadeus Capital Partners,2
Xiang He Capital,2
Tiantu Capital,2
Bezos Expeditions,2
True Ventures,2
Eclipse Ventures,2
3L,2
Hyde Park Venture Partners,2
Pritzker Group Venture Capital,2
Alkeon Capital Management,2
Anthemis,2
The Raine Group,2
Samsung Ventures,2
Investment Corporation of Dubai,2
Hanaco Venture Capital,2
SBI Investment,2
IDG Capital Partners,2
Omidyar Network,2
58.com,2
Fifty Years Fund,2
Viola Ventures,2
Breakthrough Energy Ventures,2
ARCH Venture Partners,2
Google,2
Bling Capital,2
Origin Ventures,2
GreatPoint Ventures,2
Xingwang Investment Management,2
Aviation Industry Corporation of China,2
Qatar Investment Authority,2
Soros Fund Management,2
K2 Ventures,2
Plug and Play Ventures,2
Chicago Ventures,2
Lowercase Capital,2
Fabric Ventures,2
Jungle Ventures,2
GLP Capital Partners,2
M13,2
Bloomberg Beta,2
Uniqa Ventures,2
Novator Partners,2
SDIC CMC Investment Management,2
Holtzbrinck Ventures,2
Anthos Capital,2
Ardian,2
GIC,2
Russia-China Investment Fund,2
Drive Capital,2
XVC Venture Capital,2
Trifecta Capital,2
SAIF Partners India,2
Walden Venture Capital,2
Bain Capital,2
TTV Capital,2
Huagai Capital,2
Volkswagen Group,2
Vertex Ventures SE Asia,2
Redpoint e.ventures,2
Walden International,2
Polaris Partners,2
Geely,2
Banyan Capital,2
Mangrove Capital Partners,2
Galaxy Interactive,2
ClalTech,2
Flint Capital,2
JOY Capital,2
China Everbright Investment Management,1
Work-Bench,1
UNITY VENTURES,1
Quiet Capital,1
Vattenfall,1
SEED Capital,1
Kickstart Fund,1
Max Ventures,1
Tomales Bay Capital,1
IAG Capital Partners,1
BUILD Capital Partners,1
CR Capital Mgmt,1
UBS,1
A&E Television Networks,1
Next Coast Ventures,1
SoftBankGroup,1
Picus Capital,1
Sigma Prime Ventures,1
DESUN Capital,1
Ally Bridge Group,1
Google Capital,1
Woori Investment,1
L Capital Partners,1
Morgan Creek Digital,1
Core Capital Partners,1
Lightspeed Venture Capital,1
Bright Venture Capita,1
Unternehmertum Venture Capital,1
TQ Ventures,1
Times Internet,1
DN Capital,1
Pine Brook,1
Iconiq Capital,1
Third Point,1
Piton Capital,1
Route 66 Ventures,1
Lead Edge Capital,1
DeFi Technologies,1
MSD Capital,1
HarbourVest Partners,1
LeapFrog Investments,1
BA Capital,1
Streamlined Ventures,1
Valiant Capital Partners,1
Zhangjiang Haocheng Venture Capital,1
Energy Impact Partners,1
IMM Investment,1
Cybernaut Growth Fund,1
ION Crossover Partners,1
Sherpalo Ventures,1
Siam Commercial Bank,1
and Sequoia Capital China,1
Energize Ventures,1
Bond Capital,1
JMI Equity,1
Neuberger Berman,1
Fairfax Financial Holdings,1
Automobile Industry Guidance Fund,1
Knox Lane,1
FTX Ventures,1
Legend Star,1
BOC International,1
Atlantic Food Labs,1
Cedarlake Capital,1
QiMing Venture Partnersl,1
Victory Park Capital,1
Sodexo Ventures,1
JD Capital Management,1
Zeal Capital Partners,1
Carsales,1
Relay Ventures,1
Sino-Ocean Capital,1
Endiya Partners,1
Xiaomi,1
G Squared,1
Breega Capital,1
Pereg Ventures,1
FinVC,1
Lenovo Capital and Incubator,1
Gopher Asset Management,1
Haitong Leading Capital Management,1
Aviv Venture Capital,1
Songhyun Investment,1
360 Capital Partners,1
Banner Ventures,1
CVF Capital Partners,1
JBV Capital,1
China Investment Corporation,1
Square Peg Capital,1
Ginko Ventures,1
Paladin Capital Group,1
Georgian Co-Investment Fund,1
CMFG Ventures,1
Magma Venture Partners,1
MSA Capital,1
China Culture Industrial Investment Fund,1
