SELECT_INVESTORS,CONTINENT,CONTINENT_PCT
.406 Ventures,North America,100.00
01 Advisors,North America,100.00
10T Fund,North America,100.00
14W,Europe,33.33
14W,North America,66.67
1955 Capital,North America,100.00
360 Capital Partners,Europe,100.00
3G Capital Management,South America,100.00
3L,North America,100.00
3i Group,Europe,100.00
3one4 Capital Partners,Asia,100.00
468 Capital,Europe,100.00
500 Global,Asia,100.00
500 Startups,Asia,60.00
500 Startups,North America,40.00
58.com,Asia,100.00
5Y Capital,Asia,100.00
83North,Europe,85.00
83North,North America,15.00
8VC,North America,100.00
A&E Television Networks,North America,100.00
A&NN,Europe,100.00
A91 Partners,Asia,100.00
ACE & Company,North America,100.00
AME Cloud Ventures,North America,100.00
ARCH Venture Partners,North America,100.00
AU21,North America,100.00
AWZ Ventures,Asia,100.00
AXA Venture Partners,North America,100.00
Accel,Asia,8.33
Accel,Europe,28.24
Accel,North America,62.04
Accel,South America,1.39
Accel India,Asia,100.00
Accel Partners,Asia,78.95
Accel Partners,Europe,10.53
Accel Partners,North America,10.53
Accelm Scania Growth Capital,Europe,100.00
Access Industries,Europe,66.67
Access Industries,North America,33.33
Accomplice,North America,100.00
Acero Capital,North America,100.00
Activant Capital,Asia,33.33
Activant Capital,North America,66.67
Activant Capital Group,North America,100.00
Acton Capital Partners,Europe,100.00
Adams Street Partners,North America,100.00
Addition,North America,100.00
Advance Venture Partners,North America,100.00
Advancit Capital,North America,100.00
Advantech Capital,Asia,100.00
Advent International,North America,94.12
Advent International,South America,5.88
Affirma Capital,Asia,100.00
Afore Capital,North America,100.00
Aglae Ventures,Europe,100.00
Ainge Advisory,North America,100.00
AirTree Ventures,Oceania,100.00
Airbus Ventures,North America,100.00
Ajinomoto,Asia,100.00
Aker,Europe,100.00
Alaska Permanent Fund,North America,100.00
Aleph,Asia,30.00
Aleph,North America,70.00
Alexandria Venture Investments,North America,100.00
Alibaba Entrepreneurs Fund,Asia,100.00
Alibaba Group,Asia,95.00
Alibaba Group,North America,5.00
Alibaba Pictures Group,Asia,100.00
Alkeon Capital Management,Europe,33.33
Alkeon Capital Management,North America,66.67
AllegisCyber Capital,North America,100.00
Alliance Consumer Growth,North America,100.00
Ally Bridge Group,North America,100.00
Almaz Capital Partners,North America,100.00
Alpargatas,North America,100.00
Alpha JWC Ventures,Asia,100.00
Alpha Wave Global,Asia,100.00
Alta Partners,North America,100.00
Alta Ventures Mexico,North America,100.00
AltaIR Capital,North America,100.00
Altamont Capital Partners,Europe,100.00
Altimeter Capital,North America,100.00
Altos Ventures,Asia,33.33
Altos Ventures,North America,66.67
Alumni Ventures Group,North America,100.00
Alven Capital,Europe,53.33
Alven Capital,North America,46.67
Amadeus Capital Partners,Europe,37.50
Amadeus Capital Partners,South America,62.50
Amasia,Asia,100.00
American Express Ventures,Europe,5.88
American Express Ventures,North America,94.12
American Family Ventures,North America,100.00
Amiti Ventures,Asia,100.00
Amplify Partners,North America,100.00
Andalusian Capital Partners,Asia,100.00
Andreessen Horowitz,Asia,0.47
Andreessen Horowitz,Europe,1.42
Andreessen Horowitz,North America,94.34
Andreessen Horowitz,South America,3.77
Ant Financial Services Group,Asia,100.00
Ant Group,Asia,100.00
Anthem Venture Partners,North America,100.00
Anthemis,Europe,50.00
Anthemis,North America,50.00
Anthermis,North America,100.00
Anthos Capital,North America,100.00
Apax Partners,Asia,100.00
Apollo Global Management,North America,100.00
Ardian,Europe,50.00
Ardian,North America,50.00
Array Ventures,North America,100.00
Artiman Ventures,North America,100.00
Artis Ventures,North America,100.00
Ascension Ventures,North America,100.00
Aspect Ventures,Asia,60.00
Aspect Ventures,North America,40.00
Aspenwood Ventures,North America,100.00
Asset Management Ventures,North America,100.00
Astanor Ventures,Europe,100.00
Astral Capital,North America,100.00
Atinum Investment,Asia,100.00
Atlantic Food Labs,Europe,100.00
Atomico,Asia,10.53
Atomico,Europe,47.37
Atomico,North America,42.11
Atop Capital,Asia,100.00
Augmentum Fintech,Europe,100.00
August Capital,North America,100.00
Auriga,Europe,100.00
Automobile Industry Guidance Fund,Asia,100.00
Avenir Growth Capital,Asia,100.00
Aviation Industry Corporation of China,Asia,8.33
Aviation Industry Corporation of China,Europe,91.67
Aviv Venture Capital,Asia,100.00
Ayala Corporation,Asia,100.00
B Capital Group,Asia,37.50
B Capital Group,North America,62.50
BA Capital,Asia,100.00
BBVA,South America,100.00
BDC Venture Capital,North America,100.00
BDT Capital Partners,North America,100.00
BECO Capital,Asia,100.00
BEENEXT,Asia,100.00
BGF Ventures,Europe,100.00
BMO Capital,North America,100.00
BMW i Ventures,Europe,50.00
BMW i Ventures,North America,50.00
BNP Paribas,North America,100.00
BOC International,Asia,100.00
BOLDstart Ventures,North America,100.00
BP Ventures,Asia,100.00
BPI France,Europe,100.00
BUILD Capital Partners,Europe,100.00
Baidu,Asia,100.00
Baidu Capital,Asia,100.00
Baidu Ventures,Asia,100.00
Baillie Gifford & Co.,North America,87.50
Baillie Gifford & Co.,Oceania,12.50
Bain & Company,North America,100.00
Bain Capital,Asia,50.00
Bain Capital,Europe,50.00
Bain Capital Credit,Europe,100.00
Bain Capital Tech Opportunities,North America,100.00
Bain Capital Ventures,North America,100.00
Balderton Capital,Europe,81.82
Balderton Capital,North America,18.18
Baleen Capital,Europe,100.00
Ballast Point Ventures,North America,100.00
Bank Of China Group Investment,Asia,100.00
Bank of China,Asia,100.00
Banner Ventures,North America,100.00
Banyan Capital,Asia,100.00
Barter Ventures,North America,100.00
Baseline Ventures,North America,100.00
Battery Ventures,Asia,2.35
Battery Ventures,Europe,10.59
Battery Ventures,North America,87.06
Bedrock Capital,North America,100.00
Beijing Juneng Hesheng Industry Investment Fund,Asia,100.00
Beijing Shuju Xinrong Fund,Asia,100.00
Benchmark,Europe,8.89
Benchmark,North America,84.44
Benchmark,South America,6.67
Benhcmark,North America,100.00
Bertelsmann Asia Investments,Asia,100.00
Bertelsmann India Investments,Asia,100.00
Bessemer Venture Partners,Asia,22.22
Bessemer Venture Partners,North America,72.22
Bessemer Venture Partners,South America,5.56
Bezos Expeditions,North America,100.00
Big Bets,South America,100.00
BlackRock,Europe,15.79
BlackRock,North America,84.21
Blackbird Ventures,Oceania,100.00
Blackrock,Asia,14.29
Blackrock,North America,85.71
Blackstone,Asia,7.14
Blackstone,Europe,25.00
Blackstone,North America,67.86
Bling Capital,North America,100.00
BlockTower Capital,North America,100.00
Blockchain Capital,North America,100.00
Bloomberg Beta,North America,100.00
Blu Venture Investors,North America,100.00
Blue Cloud Ventures,North America,100.00
Blue Label Telecoms,Africa,100.00
Blue Lake Capital,Asia,100.00
BlueCross BlueShield Venture Partners,North America,100.00
BlueRun Ventures,Asia,100.00
Blueflame Capital,Asia,100.00
Blumberg Capital,North America,100.00
Blume Ventures,Asia,100.00
Bnk To The Future,North America,100.00
Bojiang Capital,Asia,100.00
Bolt Ventures,North America,100.00
Bond,Europe,30.00
Bond,North America,70.00
Bond Capital,Europe,100.00
Bonfire Ventures,North America,100.00
Borui Capital,Asia,100.00
Bow Wave Capital,Asia,100.00
BoxGroup,North America,100.00
Boxin Capital,Asia,100.00
Boyu Capital,Asia,100.00
Breakthrough Energy Ventures,North America,100.00
Breega Capital,Europe,100.00
Bregal Sagemount,North America,100.00
Breyer Capital,North America,100.00
Bright Venture Capita,Asia,100.00
Brighton Park Capital,North America,100.00
British Patient Capital,Europe,100.00
Brookfield Asset Management,North America,100.00
Broom Ventures,North America,100.00
Buhuo Venture Capital,Asia,100.00
Burda Principal Investments,Europe,100.00
C5 Capital,North America,100.00
CDH Investments,Asia,100.00
CDIB Capital,Asia,100.00
CE-Ventures,Asia,100.00
CITIC Securities International,Asia,100.00
CJ ENM,North America,100.00
CMB International Capital,Asia,100.00
CMC Capital Partners,Asia,100.00
CMFG Ventures,North America,100.00
CPP Investment Board,Europe,100.00
CR Capital Mgmt,Asia,100.00
CRE Venture Capital,North America,100.00
CRV,North America,100.00
CSC Group,Asia,100.00
CVC Capital Partners,North America,100.00
CVF Capital Partners,North America,100.00
Cadenza Ventures,North America,100.00
Caffeinated Capital,Asia,5.26
Caffeinated Capital,North America,94.74
Caisse de depot et placement du Quebec,North America,100.00
Cambridge Innovation Capital,Europe,100.00
Canaan Partners,Asia,16.67
Canaan Partners,Europe,50.00
Canaan Partners,North America,33.33
Canapi Ventures,North America,100.00
Capital One Growth Ventures,North America,100.00
Capital Today,Asia,100.00
